"participant"	"speechrate"	"item"	"syntax"	"tapped"	"released"	"vowelduration"	"segmentAfterDuration"	"pause"	"trial"	"vowel"	"file"	"text"
435	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.05	0.06	0	17	"IH0"	"nogritfast_435_1_1.wav"	"If you plit, Alice will be mad."
593	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.04	0.07	0	2	"IH0"	"nogritfast_593_1_1.wav"	"If you plit, Alice will be mad."
1087	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.07	0.1	0	11	"IH0"	"nogritfast_1087_1_1.wav"	"If you plit, Alice will be mad."
1111	"fast"	1	"intransitive"	"Tapped"	"Unreleased"	0.04	0.06	0	31	"IH0"	"nogritfast_1111_1_1.wav"	"If you plit, Alice will be mad."
1139	"fast"	1	"intransitive"	"Tapped"	"Unreleased"	0.04	0.06	0	23	"IH0"	"nogritfast_1139_1_1.wav"	"If you plit, Alice will be mad."
1278	"fast"	1	"intransitive"	"Tapped"	"Unreleased"	0.03	0.08	0	30	"IH0"	"nogritfast_1278_1_1.wav"	"If you plit, Alice will be mad."
1281	"fast"	1	"intransitive"	"Tapped"	"Unreleased"	0.04	0.08	0	14	"IH0"	"nogritfast_1281_1_1.wav"	"If you plit, Alice will be mad."
1283	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.04	0.11	0	3	"IH0"	"nogritfast_1283_1_1.wav"	"If you plit, Alice will be mad."
1284	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.04	0.08	0	6	"IH0"	"nogritfast_1284_1_1.wav"	"If you plit, Alice will be mad."
1287	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.11	0.08	0	31	"IH0"	"nogritfast_1287_1_1.wav"	"If you plit, Alice will be mad."
1288	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.07	0.07	0	3	"IH0"	"nogritfast_1288_1_1.wav"	"If you plit, Alice will be mad."
1296	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.17	0.08	0	5	"IH0"	"nogritfast_1296_1_1.wav"	"If you plit, Alice will be mad."
1333	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.11	0.05	0	29	"IH0"	"nogritfast_1333_1_1.wav"	"If you plit, Alice will be mad."
1334	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.1	0.09	0	6	"IH0"	"nogritfast_1334_1_1.wav"	"If you plit, Alice will be mad."
1335	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.07	0.06	0	14	"IH0"	"nogritfast_1335_1_1.wav"	"If you plit, Alice will be mad."
1336	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.08	0.08	0	10	"IH0"	"nogritfast_1336_1_1.wav"	"If you plit, Alice will be mad."
1337	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.07	0.05	0	25	"IH0"	"nogritfast_1337_1_1.wav"	"If you plit, Alice will be mad."
1338	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.05	0.05	0	15	"IH0"	"nogritfast_1338_1_1.wav"	"If you plit, Alice will be mad."
1339	"fast"	1	"intransitive"	"Not Tapped"	"Released"	0.08	0.06	0	1	"IH0"	"nogritfast_1339_1_1.wav"	"If you plit, Alice will be mad."
1340	"fast"	1	"intransitive"	"Not Tapped"	"Unreleased"	0.05	0.04	0	13	"IH0"	"nogritfast_1340_1_1.wav"	"If you plit, Alice will be mad."
1350	"fast"	1	"intransitive"	"Not Tapped"	"Released"	0.04	0.08	0	5	"IH0"	"nogritfast_1350_1_1.wav"	"If you plit, Alice will be mad."
435	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.07	0	12	"IH0"	"nogritfast_435_1_2.wav"	"If you plit Alice, John will be mad. "
593	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.16	0	23	"IH0"	"nogritfast_593_1_2.wav"	"If you plit Alice, John will be mad. "
1087	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.04	0.2	0	8	"IH0"	"nogritfast_1087_1_2.wav"	"If you plit Alice, John will be mad. "
1111	"fast"	1	"transitive"	"Tapped"	"Unreleased"	0.04	0.12	0	10	"IH0"	"nogritfast_1111_1_2.wav"	"If you plit Alice, John will be mad. "
1139	"fast"	1	"transitive"	"Tapped"	"Unreleased"	0.03	0.1	0	1	"IH0"	"nogritfast_1139_1_2.wav"	"If you plit Alice, John will be mad. "
1277	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.07	0	22	"IH0"	"nogritfast_1277_1_2.wav"	"If you plit Alice, John will be mad. "
1278	"fast"	1	"transitive"	"Tapped"	"Unreleased"	0.04	0.09	0	19	"IH0"	"nogritfast_1278_1_2.wav"	"If you plit Alice, John will be mad. "
1281	"fast"	1	"transitive"	"Tapped"	"Unreleased"	0.03	0.09	0	30	"IH0"	"nogritfast_1281_1_2.wav"	"If you plit Alice, John will be mad. "
1283	"fast"	1	"transitive"	"Tapped"	"Unreleased"	0.05	0.09	0	15	"IH0"	"nogritfast_1283_1_2.wav"	"If you plit Alice, John will be mad. "
1284	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.07	0	32	"IH0"	"nogritfast_1284_1_2.wav"	"If you plit Alice, John will be mad. "
1287	"fast"	1	"transitive"	"Tapped"	"Unreleased"	0.05	0.26	0	22	"IH0"	"nogritfast_1287_1_2.wav"	"If you plit Alice, John will be mad. "
1288	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.05	0.1	0	14	"IH0"	"nogritfast_1288_1_2.wav"	"If you plit Alice, John will be mad. "
1296	"fast"	1	"transitive"	"Tapped"	"Unreleased"	0.06	0.1	0	18	"IH0"	"nogritfast_1296_1_2.wav"	"If you plit Alice, John will be mad. "
1297	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.09	0.33	0	32	"IH0"	"nogritfast_1297_1_2.wav"	"If you plit Alice, John will be mad. "
1333	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.12	0.12	0	23	"IH0"	"nogritfast_1333_1_2.wav"	"If you plit Alice, John will be mad. "
1334	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.04	0.14	0	26	"IH0"	"nogritfast_1334_1_2.wav"	"If you plit Alice, John will be mad. "
1335	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.1	0	23	"IH0"	"nogritfast_1335_1_2.wav"	"If you plit Alice, John will be mad. "
1336	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.05	0.1	0	25	"IH0"	"nogritfast_1336_1_2.wav"	"If you plit Alice, John will be mad. "
1337	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.19	0	13	"IH0"	"nogritfast_1337_1_2.wav"	"If you plit Alice, John will be mad. "
1338	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.08	0	23	"IH0"	"nogritfast_1338_1_2.wav"	"If you plit Alice, John will be mad. "
1339	"fast"	1	"transitive"	"Tapped"	"Unreleased"	0.03	0.04	0	11	"IH0"	"nogritfast_1339_1_2.wav"	"If you plit Alice, John will be mad. "
1340	"fast"	1	"transitive"	"Not Tapped"	"Unreleased"	0.03	0.14	0	17	"IH0"	"nogritfast_1340_1_2.wav"	"If you plit Alice, John will be mad. "
1350	"fast"	1	"transitive"	"Not Tapped"	"Released"	0.04	0.17	0	19	"IH0"	"nogritfast_1350_1_2.wav"	"If you plit Alice, John will be mad. "
435	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.03	0.08	0	10	"AH1"	"nogritfast_435_2_1.wav"	"While you frot, Alex will be waiting."
593	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.03	0.08	0	24	"AH1"	"nogritfast_593_2_1.wav"	"While you frot, Alex will be waiting."
1087	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.1	0.07	0	6	"AH1"	"nogritfast_1087_2_1.wav"	"While you frot, Alex will be waiting."
1111	"fast"	2	"intransitive"	"Tapped"	"Unreleased"	0.09	0.07	0	14	"AH1"	"nogritfast_1111_2_1.wav"	"While you frot, Alex will be waiting."
1139	"fast"	2	"intransitive"	"Tapped"	"Unreleased"	0.07	0.07	0	7	"AH1"	"nogritfast_1139_2_1.wav"	"While you frot, Alex will be waiting."
1277	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.03	0.05	0	20	"AH1"	"nogritfast_1277_2_1.wav"	"While you frot, Alex will be waiting."
1278	"fast"	2	"intransitive"	"Tapped"	"Unreleased"	0.08	0.06	0	23	"AH1"	"nogritfast_1278_2_1.wav"	"While you frot, Alex will be waiting."
1281	"fast"	2	"intransitive"	"Tapped"	"Unreleased"	0.05	0.07	0	27	"AH1"	"nogritfast_1281_2_1.wav"	"While you frot, Alex will be waiting."
1283	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.09	0.03	0	9	"AH1"	"nogritfast_1283_2_1.wav"	"While you frot, Alex will be waiting."
1284	"fast"	2	"intransitive"	"Tapped"	"Unreleased"	0.05	0.08	0	28	"AH1"	"nogritfast_1284_2_1.wav"	"While you frot, Alex will be waiting."
1287	"fast"	2	"intransitive"	"Tapped"	"Unreleased"	0.05	0.09	0	18	"AH1"	"nogritfast_1287_2_1.wav"	"While you frot, Alex will be waiting."
1288	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.12	0.07	0	16	"AH1"	"nogritfast_1288_2_1.wav"	"While you frot, Alex will be waiting."
1296	"fast"	2	"intransitive"	"Not Tapped"	"Unreleased"	0.06	0.09	0	21	"AH1"	"nogritfast_1296_2_1.wav"	"While you frot, Alex will be waiting."
